filename,name,address,tx_count,balance
1.sol,OMGToken,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,1310953,0.0
2.sol,MCAP,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,812801,0.0
3.sol,CentrallyIssuedToken,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,795007,0.0
4.sol,GolemNetworkToken,0xa74476443119a942de498590fe1f2454d7d4ac0d,747074,0.0
5.sol,SNT,0x744d70fdbe2ba4cf95131626614a1763df805b9e,519754,0.0
6.sol,SiaCashCoin,0x74fd51a98a4a1ecbef8cc43be801cce630e260bd,449569,0.7174443280531666
7.sol,BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,412131,5.19855184
8.sol,ZRXToken,0xe41d2489571d322189246dafa5ebde1f4699f498,407489,0.0
9.sol,BAToken,0x0D8775F648430679A709E98d2b0Cb6250d2887EF,390538,0.0
10.sol,VEN,0xd850942ef8811f2a866692a623011bde52a462c1,386777,0.0
11.sol,PayToken,0xb97048628db6b661d4c2aa833e95dbe1a905b280,367152,0.0
12.sol,Salt,0x4156D3342D5c385a87D264F90653733592000581,355904,0.0
13.sol,IG,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,349837,0.0125411972
14.sol,NPXSToken,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,309728,0.0
15.sol,CentrallyIssuedToken,0x41e5560054824ea6b0732e656e3ad64e20e94e45,308774,0.0
16.sol,IcxToken,0xb5a5f22694352c15b00323844ad545abb2b11028,295906,0.0
17.sol,HumanStandardToken,0xcb97e65f07da24d46bcdd078ebebd7c6e6e3d750,285657,0.0
18.sol,LoopringToken,0xEF68e7C694F40c8202821eDF525dE3782458639f,269582,0.0
19.sol,PowerLedger,0x595832f8fc6bf59c85c527fec3740a1b7a361269,240453,0.0
20.sol,Gifto,0xc5bbae50781be1669306b9e001eff57a2957b09d,201634,0.0
21.sol,CyberMilesToken,0xf85feea2fdd81d51177f6b8f35f0e6734ce45f5f,189586,0.0
22.sol,OCoin,0x4092678e4E78230F46A1534C0fbc8fA39780892B,188123,0.0
23.sol,ZilliqaToken,0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27,185403,0.0
24.sol,_0xBitcoinToken,0xb6ed7644c69416d67b522e20bc294a9a9b405b31,184586,0.0
25.sol,RequestToken,0x8f8221afbb33998d8584a2b05749ba73c37a938a,177632,0.0
26.sol,District0xNetworkToken,0x0abdace70d3790235af448c88547603b945604ea,175194,0.0
27.sol,TierionNetworkToken,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,172990,0.0
28.sol,KinToken,0x818Fc6C2Ec5986bc6E2CBf00939d90556aB12ce5,171198,0.0
29.sol,IOSToken,0xfa1a856cfa3409cfa145fa4e20eb270df3eb21ab,167899,0.0
30.sol,AEToken,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d,161711,0.0
31.sol,MANAToken,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,161634,0.0
32.sol,Token,0x9d9223436ddd466fc247e9dbbd20207e640fef58,158697,0.0
